,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290
875,2019,446,MAC,2870,zh,1,-5,-5,790,1,0,6,3,3,1,3,3,0,446006
876,2017,840,USA,1240,en,1,22,1,1240,6,0,5,3,-3,2,3,2,0,840001
877,2018,764,THA,4230,th,2,28,1,1260,6,0,3,2,8,2,4,1,7,764001
878,2020,124,CAN,1240,en,2,59,3,1240,1,5,5,3,3,1,2,2,2,124001
879,2020,320,GTM,1270,es,2,35,2,1270,2,2,1,1,4,2,3,2,2,320003
880,2018,156,CHN,2870,zh,2,40,2,9060,1,3,2,1,5,-5,3,1,7,156001
881,2018,368,IRQ,170,ar,2,22,1,2420,6,0,5,3,3,1,2,3,5,368002
882,2017,643,RUS,3630,ru,2,64,3,3630,1,3,5,3,5,2,3,1,3,643001
883,2018,360,IDN,1890,id,1,34,2,1890,1,3,6,3,8,2,3,1,2,360999
884,2018,410,KOR,2390,ko,2,43,2,2390,1,2,5,3,-3,-3,3,1,0,410004
885,2018,50,BGD,490,bn,1,30,2,490,1,1,1,1,7,2,2,2,5,50006
886,2017,68,BOL,1270,es,1,25,1,3570,2,1,3,2,7,-2,3,2,1,68002
887,2020,417,KGZ,3630,ru,2,29,1,3630,1,3,3,2,7,-1,2,2,5,417999
888,2023,356,IND,1740,hi,2,50,3,3540,1,2,0,1,0,-1,2,3,9,356019
889,2020,716,ZWE,3830,sn,1,27,1,3830,1,0,6,3,6,2,5,2,1,716006
890,2018,36,AUS,1240,en,2,32,2,1240,2,0,3,2,3,1,2,2,1,36001
891,2020,124,CAN,1240,en,1,68,3,1240,6,0,6,3,1,2,3,1,0,124001
892,2018,630,PRI,1270,es,1,64,3,1270,6,-2,3,2,5,1,5,1,1,630013
893,2022,858,URY,1270,es,1,52,3,1270,1,1,3,2,6,2,3,2,0,858100
894,2018,604,PER,1270,es,1,47,2,1270,4,3,3,2,4,2,3,2,1,604013
895,2020,364,IRN,3490,fa,1,35,2,3490,6,0,6,3,-2,1,5,1,5,364001
896,2020,702,SGP,1240,en,1,50,3,1240,1,3,6,3,1,2,4,2,0,702004
897,2018,20,AND,810,ca,1,45,2,810,1,2,7,3,1,2,2,-2,2,20002
898,2018,218,ECU,1270,es,2,67,3,1270,1,4,1,1,0,2,2,2,1,218012
899,2018,792,TUR,4370,tr,2,58,3,-4,1,4,0,1,0,-3,4,2,5,-5
900,2020,320,GTM,1270,es,2,23,1,1270,6,-2,6,3,1,2,3,3,0,320003
901,2022,434,LBY,170,ar,1,50,3,170,1,4,3,2,1,1,4,1,5,434005
902,2019,392,JPN,2020,ja,1,18,1,2020,6,0,3,2,0,-2,3,-1,0,-4
903,2022,703,SVK,3890,sk,1,65,3,3890,5,2,4,2,2,1,2,3,1,703005
904,2020,716,ZWE,3830,sn,2,87,3,3830,1,9,3,2,4,2,5,1,1,716006
905,2018,400,JOR,170,ar,2,44,2,170,1,5,5,3,3,3,3,1,5,-4
906,2018,792,TUR,4370,tr,1,46,2,-4,1,1,6,3,2,2,3,2,5,-5
907,2019,158,TWN,2870,zh,2,41,2,2870,1,2,6,3,4,2,4,2,9,158002
908,2022,528,NLD,1190,nl,2,59,3,1190,1,0,6,3,1,1,2,-2,0,528001
909,2019,608,PHL,1360,fil,2,56,3,2170,1,4,6,3,4,2,3,2,1,608010
910,2017,840,USA,1240,en,1,64,3,1240,1,3,3,2,-3,1,2,2,0,840001
911,2018,586,PAK,4420,ur,1,32,2,3720,1,2,3,2,4,-1,4,2,5,586008
912,2018,484,MEX,1270,es,1,54,3,1270,1,5,3,2,8,-2,3,1,0,484003
913,2018,792,TUR,4370,tr,1,31,2,-4,6,0,6,3,1,1,4,2,5,-5
914,2020,716,ZWE,1240,en,1,40,2,3830,1,4,3,2,8,-2,5,2,2,716006
915,2020,496,MNG,3030,mn,2,30,2,3030,1,2,6,3,3,1,4,2,2,496001
916,2018,360,IDN,1890,id,1,22,1,9000,6,0,3,2,10,2,4,2,5,360007
917,2020,417,KGZ,2310,ky,2,34,2,2310,1,3,7,3,1,-1,4,3,5,417001
918,2018,422,LBN,170,ar,1,43,2,170,1,2,6,3,4,3,2,2,1,-4
919,2018,642,ROU,3580,ro,1,72,3,3580,1,2,4,2,6,-2,3,2,3,642005
920,2018,630,PRI,1270,es,1,37,2,1270,1,0,0,1,4,2,3,2,2,630002
921,2019,788,TUN,170,ar,2,24,1,4360,6,4,1,1,-2,-2,2,2,5,788005
922,2017,688,SRB,3780,sr,1,23,1,3780,6,0,4,2,5,2,-2,2,3,688001
923,2020,496,MNG,3030,mn,2,30,2,3030,1,0,4,2,6,2,3,1,7,496001
924,2020,231,ETH,140,am,1,43,2,3840,1,4,2,1,10,2,5,1,2,231006
925,2018,218,ECU,1270,es,2,43,2,1270,5,1,1,1,-1,-2,3,1,1,218012
926,2017,840,USA,1240,en,2,20,1,1240,1,0,6,3,1,2,4,2,1,840003
927,2017,840,USA,1240,en,1,24,1,1240,4,0,3,2,8,2,4,2,0,840004
928,2018,76,BRA,3530,pt,1,42,2,3530,6,3,0,1,9,2,5,1,1,76003
929,2018,410,KOR,2390,ko,2,19,1,2390,6,0,3,2,-3,-3,3,2,1,410004
930,2018,604,PER,1270,es,1,39,2,1270,1,1,6,3,1,2,4,2,1,604013
931,2020,704,VNM,4470,vi,2,53,3,4470,3,2,3,2,8,2,4,2,0,704001
932,2020,558,NIC,1270,es,1,53,3,1270,2,0,5,3,9,2,5,1,1,558001
933,2020,716,ZWE,3830,sn,1,47,2,3830,1,2,3,2,4,2,5,1,0,716006
934,2023,356,IND,1740,hi,1,17,1,1740,6,-5,3,2,11,-1,2,3,6,356019
935,2018,400,JOR,170,ar,1,53,3,170,1,1,5,3,8,-2,4,1,5,-4
936,2018,604,PER,1270,es,1,42,2,3570,2,2,4,2,7,2,2,3,1,604013
937,2018,276,DEU,1530,de,1,52,3,1530,1,2,2,1,2,2,2,3,0,-4
938,2022,434,LBY,170,ar,1,47,2,170,1,4,2,1,-2,-2,3,2,5,434005
939,2017,688,SRB,3780,sr,2,30,2,3780,1,2,4,2,5,-2,3,3,0,688001
940,2018,360,IDN,1890,id,2,30,2,1890,6,0,5,3,1,1,2,2,5,360007
941,2018,818,EGY,170,ar,2,42,2,170,1,4,6,3,1,1,2,2,5,818001
942,2018,344,HKG,790,zh,1,41,2,790,1,2,5,3,1,2,3,2,0,344001
943,2018,458,MYS,2810,ms,1,52,3,1240,1,2,6,3,1,3,2,2,5,458004
944,2018,818,EGY,170,ar,2,18,1,170,6,0,2,1,0,-3,3,2,5,818001
945,2017,68,BOL,1270,es,1,54,3,3570,1,5,2,1,10,2,3,2,1,68002
946,2018,360,IDN,1890,id,2,45,2,4040,5,3,1,1,6,2,5,2,5,360005
947,2021,462,MDV,1105,dv,1,41,2,1105,1,2,1,1,4,2,3,2,5,462003
948,2020,320,GTM,1270,es,2,20,1,1270,6,-2,3,2,-2,-2,2,-2,2,320003
949,2018,422,LBN,170,ar,2,65,3,170,1,1,0,1,0,2,4,1,5,-4
950,2018,218,ECU,1270,es,1,66,3,1270,4,3,2,1,-2,2,3,2,0,218013
951,2018,50,BGD,490,bn,1,19,1,490,6,0,2,1,0,-3,3,2,5,50006
952,2020,124,CAN,1240,en,2,35,2,1240,6,0,5,3,3,1,4,2,0,124001
953,2018,586,PAK,4420,ur,1,31,2,3540,1,4,2,1,6,-1,4,2,5,586001
954,2019,446,MAC,2870,zh,1,25,1,790,6,0,6,3,2,2,2,2,1,446006
955,2018,20,AND,810,ca,1,74,3,810,1,1,6,3,2,2,2,2,1,20001
956,2020,554,NZL,1240,en,1,54,3,1240,4,2,5,3,6,2,-1,2,0,-4
957,2020,364,IRN,3490,fa,2,49,2,3490,1,2,3,2,0,-3,-1,-1,-2,364999
958,2020,804,UKR,3630,ru,2,25,1,3630,1,0,3,2,4,2,3,2,3,804002
959,2018,458,MYS,2810,ms,1,30,2,2810,1,1,6,3,1,2,2,2,5,458004
960,2018,344,HKG,790,zh,2,58,3,790,1,2,3,2,5,2,4,2,0,344001
961,2020,716,ZWE,1240,en,1,29,1,3830,1,1,4,2,4,2,3,2,1,716006
962,2017,643,RUS,3630,ru,2,80,3,3630,5,1,3,2,3,1,3,1,0,643001
963,2020,702,SGP,1240,en,1,41,2,2870,6,0,7,3,2,2,4,2,7,702004
964,2018,604,PER,1270,es,1,19,1,1270,6,0,4,2,0,-3,4,2,1,604016
965,2020,762,TJK,4160,tg,1,28,1,4160,6,0,7,3,1,1,4,2,5,762001
966,2022,528,NLD,1190,nl,1,64,3,1190,2,0,4,2,5,1,2,2,0,528001
967,2018,604,PER,1270,es,1,54,3,1270,2,3,2,1,9,2,4,2,1,604001
968,2022,528,NLD,1190,nl,1,67,3,9000,1,5,8,3,1,2,1,3,1,528001
969,2020,124,CAN,1240,en,2,34,2,1400,6,0,5,3,0,-3,5,1,1,124001
970,2018,76,BRA,3530,pt,2,18,1,3530,6,0,3,2,0,-3,4,2,2,76003
971,2018,344,HKG,790,zh,1,27,1,790,6,0,2,1,5,-2,4,2,0,344001
972,2018,630,PRI,1270,es,1,53,3,1270,6,0,6,3,5,2,3,3,1,630001
973,2020,231,ETH,140,am,2,27,1,140,1,1,6,3,3,1,5,1,3,231001
974,2022,858,URY,1270,es,2,58,3,1270,3,7,3,2,6,2,3,2,0,858100
975,2018,458,MYS,2810,ms,1,55,3,2870,1,1,5,3,1,2,3,2,7,458012
976,2017,840,USA,1240,en,2,65,3,1240,5,0,3,2,-3,1,2,2,2,840001
977,2018,152,CHL,1270,es,1,27,1,1270,6,0,4,2,0,-3,3,2,0,152001
978,2018,152,CHL,1270,es,1,42,2,1270,2,2,3,2,8,2,4,1,0,152008
979,2021,862,VEN,1270,es,1,19,1,1270,6,0,3,2,0,1,5,1,1,862002
980,2020,320,GTM,1270,es,1,20,1,1270,6,0,3,2,-2,-2,3,1,0,320003
981,2018,156,CHN,2870,zh,2,18,1,2870,6,0,3,2,0,-3,3,1,0,156001
982,2020,702,SGP,1240,en,2,55,3,2870,1,0,4,2,3,2,4,1,2,702004
983,2020,124,CAN,1400,fr,1,51,3,1400,6,0,3,2,4,3,3,1,0,124001
984,2018,604,PER,1270,es,1,19,1,1270,6,0,3,2,8,2,4,2,1,604013
985,2018,218,ECU,1270,es,1,31,2,1270,2,1,3,2,7,-2,2,2,0,218011
986,2022,826,GBR,1240,en,1,39,2,1240,2,-4,2,1,5,1,-4,3,0,826100
987,2022,703,SVK,3890,sk,1,29,1,3890,6,0,3,2,5,2,3,2,1,703005
988,2018,586,PAK,4420,ur,2,45,2,3540,5,3,0,1,0,-3,4,1,5,586001
989,2020,364,IRN,3490,fa,1,19,1,3490,6,0,4,2,1,2,2,2,5,364003
990,2018,792,TUR,4370,tr,2,35,2,-4,1,4,1,1,0,2,3,2,5,-5
991,2018,36,AUS,1240,en,2,50,3,1240,2,0,4,2,1,1,3,2,0,36001
992,2020,124,CAN,1400,fr,1,36,2,1400,2,0,5,3,1,3,3,2,0,124001
993,2020,231,ETH,140,am,2,30,2,3920,3,0,2,1,0,2,2,2,5,231004
994,2020,804,UKR,4410,uk,1,30,2,4410,1,1,5,3,6,-2,2,3,1,804001
995,2020,364,IRN,3490,fa,1,33,2,1540,1,1,2,1,6,2,2,2,5,364005
996,2020,364,IRN,3490,fa,2,31,2,3490,6,0,7,3,1,3,3,2,5,364001
997,2020,804,UKR,4410,uk,1,66,3,4410,1,2,5,3,-1,-5,3,1,1,804999
998,2019,196,CYP,4370,tr,2,45,2,4370,1,0,6,3,0,-2,5,2,5,196001
999,2018,586,PAK,4420,ur,1,30,2,3720,1,3,3,2,9,-1,4,2,5,586008
1000,2022,703,SVK,3890,sk,2,52,3,3890,1,0,6,3,1,2,3,2,0,703005
1001,2018,156,CHN,2870,zh,2,38,2,9060,1,2,6,3,1,1,3,2,0,156001
1002,2020,124,CAN,1240,en,2,31,2,1240,1,2,1,1,4,2,3,2,1,124999
1003,2017,643,RUS,3630,ru,1,50,3,3630,1,1,5,3,7,1,3,2,0,643001
1004,2017,68,BOL,1270,es,1,46,2,1270,1,5,3,2,7,3,2,2,1,68003
1005,2017,32,ARG,1270,es,2,50,3,1270,1,-5,3,2,4,2,2,3,1,32001
1006,2019,788,TUN,170,ar,2,50,3,4360,5,1,1,1,0,-3,4,2,5,788005
1007,2018,642,ROU,3580,ro,2,46,2,3580,1,2,3,2,6,2,4,3,3,642005
1008,2018,586,PAK,4420,ur,2,23,1,3540,1,2,2,1,0,-3,3,2,5,586001
1009,2017,643,RUS,3630,ru,1,42,2,3630,1,2,5,3,7,2,4,2,3,643001
1010,2018,484,MEX,1270,es,1,53,3,1270,2,7,1,1,-2,2,3,2,0,484003
1011,2020,762,TJK,4160,tg,1,31,2,4160,1,2,7,3,6,1,3,3,0,762001
1012,2018,400,JOR,170,ar,1,57,3,170,1,4,5,3,8,2,3,2,5,-4
1013,2017,300,GRC,1580,el,1,31,2,1580,1,1,3,2,6,2,3,2,3,300001
1014,2018,50,BGD,490,bn,1,54,3,490,1,2,2,1,4,2,3,2,5,50006
1015,2018,76,BRA,3530,pt,2,70,3,3530,5,6,2,1,9,-2,4,2,1,76001
1016,2019,788,TUN,170,ar,2,33,2,4360,1,1,1,1,0,-3,3,1,5,788005
1017,2020,496,MNG,3030,mn,1,59,3,3030,2,2,6,3,2,1,2,2,7,496001
1018,2018,368,IRQ,170,ar,1,33,2,2420,1,4,6,3,3,1,4,2,5,368002
1019,2018,156,CHN,2870,zh,2,33,2,2870,1,2,1,1,5,-5,3,1,0,156001
1020,2019,392,JPN,2020,ja,1,61,3,2020,1,1,6,3,3,1,-1,1,7,-4
1021,2021,462,MDV,1105,dv,2,43,2,1105,1,4,1,1,8,2,5,1,5,462003
1022,2018,152,CHL,1270,es,1,67,3,1270,5,3,3,2,7,1,4,1,9,152001
1023,2018,344,HKG,790,zh,1,40,2,790,1,2,6,3,1,2,4,2,0,344001
1024,2020,124,CAN,1400,fr,1,80,3,1400,1,1,7,3,1,1,3,2,1,124001
1025,2018,368,IRQ,170,ar,1,21,1,170,6,0,2,1,8,2,5,1,5,368001
1026,2018,604,PER,1270,es,2,32,2,1270,1,1,4,2,3,2,2,2,1,604013
1027,2017,68,BOL,1270,es,2,19,1,1270,6,0,3,2,0,-3,2,-2,1,68001
1028,2020,231,ETH,4270,tig,2,35,2,4260,1,3,3,2,1,3,3,2,3,231002
1029,2018,344,HKG,790,zh,2,38,2,790,1,2,6,3,3,2,3,2,7,344001
1030,2022,858,URY,1270,es,2,59,3,1270,1,4,3,2,5,-2,2,2,0,858100
1031,2018,642,ROU,3580,ro,1,67,3,3580,1,4,4,2,5,1,2,2,3,642005
1032,2021,504,MAR,170,ar,1,64,3,170,1,1,0,1,0,3,3,2,5,504005
1033,2022,703,SVK,3890,sk,2,42,2,3890,2,0,2,1,7,-2,4,2,0,703005
1034,2020,124,CAN,1240,en,2,39,2,790,6,0,4,2,0,-3,3,1,0,124009
1035,2018,50,BGD,490,bn,2,23,1,490,1,1,0,1,0,-3,4,1,5,50006
1036,2020,124,CAN,1240,en,2,63,3,1240,1,2,6,3,1,1,3,2,0,124001
1037,2021,404,KEN,1240,en,1,34,2,3920,1,1,3,2,4,2,4,2,5,404010
1038,2018,586,PAK,4420,ur,2,40,2,3540,1,5,2,1,3,-1,4,1,5,586001
1039,2020,804,UKR,3630,ru,2,48,2,3630,6,1,4,2,5,2,5,3,-1,804001
1040,2022,203,CZE,1040,cs,2,38,2,1040,1,1,7,3,2,2,3,2,0,203003
1041,2018,218,ECU,1270,es,2,62,3,1270,5,1,3,2,7,2,5,2,1,218012
1042,2021,504,MAR,170,ar,1,25,1,170,6,0,4,2,0,3,3,2,5,504005
1043,2020,704,VNM,4470,vi,2,37,2,4470,1,2,2,1,9,2,4,1,7,704001
1044,2017,32,ARG,1270,es,2,35,2,1270,2,1,3,2,4,2,2,2,1,32002
1045,2018,276,DEU,1530,de,1,71,3,1530,3,2,5,3,6,2,2,2,1,-4
1046,2018,170,COL,1270,es,2,18,1,1270,6,0,2,1,4,2,3,1,0,170011
1047,2019,392,JPN,2020,ja,2,57,3,2020,1,1,6,3,0,-2,-1,-1,0,-4
1048,2018,792,TUR,4370,tr,1,18,1,-4,6,0,3,2,0,2,3,2,5,-5
1049,2017,688,SRB,3780,sr,1,40,2,3780,3,1,6,3,3,1,4,3,0,688001
1050,2019,158,TWN,2870,zh,1,37,2,2870,1,1,6,3,6,1,3,2,9,158002
1051,2018,586,PAK,4420,ur,2,45,2,3540,1,3,1,1,0,3,4,1,5,586001
1052,2017,68,BOL,1270,es,2,40,2,1270,1,4,3,2,6,2,2,2,2,68003
1053,2019,608,PHL,820,ceb,1,47,2,820,1,3,2,1,9,2,3,2,1,608024
1054,2018,792,TUR,4370,tr,1,41,2,-4,4,0,-2,-2,8,-2,-1,2,5,-5
1055,2018,20,AND,810,ca,1,67,3,1270,1,2,3,2,4,2,3,1,6,20003
1056,2020,124,CAN,1240,en,2,25,1,1240,6,0,6,3,1,1,2,2,0,124999
1057,2018,400,JOR,170,ar,2,50,3,170,5,3,1,1,0,-3,5,1,5,-4
1058,2018,170,COL,1270,es,2,51,3,1270,2,4,3,2,8,3,3,2,0,170011
1059,2018,276,DEU,1530,de,2,28,1,9000,1,1,6,3,1,1,2,2,5,-4
1060,2022,860,UZB,4450,uz,2,39,2,4450,3,1,6,3,7,1,-5,2,1,860007
1061,2019,158,TWN,2870,zh,2,46,2,2870,1,0,7,3,1,3,2,2,7,158002
1062,2018,360,IDN,1890,id,2,44,2,9000,1,1,0,1,9,2,5,2,5,360999
1063,2021,462,MDV,1105,dv,2,35,2,1105,1,3,2,1,5,1,3,2,5,462003
1064,2020,762,TJK,4160,tg,1,27,1,4160,6,0,-2,-2,4,1,1,3,5,762001
1065,2020,124,CAN,1240,en,1,29,1,1240,6,1,3,2,4,2,3,2,0,124001
1066,2019,446,MAC,2870,zh,2,25,1,790,6,0,6,3,5,2,3,2,0,446006
1067,2020,496,MNG,3030,mn,2,44,2,3030,2,1,3,2,4,1,3,2,0,496001
1068,2020,364,IRN,3490,fa,1,44,2,3490,1,2,2,1,6,2,3,3,5,364001
1069,2020,762,TJK,4160,tg,1,53,3,4160,1,4,3,2,9,-2,4,2,5,762001
1070,2022,203,CZE,1040,cs,1,39,2,1040,2,0,7,3,4,2,2,2,0,203003
1071,2020,124,CAN,1240,en,1,53,3,1240,1,1,4,2,3,2,2,2,0,124012
1072,2018,630,PRI,1270,es,2,40,2,1270,1,2,7,3,1,2,3,2,0,630012
1073,2017,68,BOL,1270,es,2,49,2,3570,1,5,1,1,10,2,3,1,1,68002
1074,2017,68,BOL,1270,es,1,42,2,1270,2,3,1,1,7,2,2,2,2,68002
1075,2018,400,JOR,170,ar,2,49,2,170,1,4,3,2,4,-2,4,2,5,-4
1076,2022,858,URY,1270,es,2,23,1,1270,6,0,7,3,11,-2,-1,2,1,858100
1077,2018,586,PAK,4420,ur,1,28,1,3860,1,2,0,1,9,-1,4,1,5,586004
1078,2022,826,GBR,1240,en,2,84,3,1240,1,-4,2,1,3,2,-4,1,2,826100
1079,2018,276,DEU,1530,de,1,28,1,1530,6,0,7,3,1,2,3,2,2,-4
1080,2020,762,TJK,4160,tg,2,29,1,4160,1,3,2,1,8,1,2,2,0,762001
1081,2018,458,MYS,2810,ms,2,27,1,2810,1,0,2,1,-5,3,5,1,5,458004
1082,2018,368,IRQ,170,ar,1,41,2,170,1,3,2,1,3,2,4,1,5,368001
1083,2017,300,GRC,1580,el,1,48,2,9000,1,2,6,3,8,2,5,1,5,300005
1084,2018,764,THA,4230,th,1,43,2,1260,1,2,3,2,1,1,2,2,7,764001
1085,2020,364,IRN,3490,fa,1,30,2,3490,1,1,1,1,9,1,5,1,5,364001
1086,2020,716,ZWE,3830,sn,2,27,1,3830,3,3,2,1,0,-3,5,1,5,716006
1087,2021,51,ARM,200,hy,2,37,2,200,1,1,4,2,0,-3,2,1,3,51001
1088,2022,826,GBR,1240,en,2,39,2,1240,1,-4,6,3,4,2,-4,2,0,826100
1089,2017,68,BOL,1270,es,2,28,1,1270,2,1,3,2,4,-2,2,2,0,68003
1090,2020,231,ETH,140,am,2,22,1,140,1,2,3,2,4,1,2,2,5,231001
1091,2022,703,SVK,3890,sk,1,51,3,3890,1,2,3,2,7,2,3,2,0,703005
1092,2018,50,BGD,490,bn,2,40,2,490,1,4,2,1,0,-3,4,2,5,50006
1093,2019,608,PHL,820,ceb,1,66,3,820,1,3,6,3,2,2,1,2,1,608024
1094,2017,300,GRC,1580,el,2,31,2,1580,2,0,6,3,1,1,3,2,3,300001
1095,2018,398,KAZ,3630,ru,1,49,2,3630,1,6,3,2,7,2,4,2,5,398003
1096,2018,400,JOR,170,ar,2,67,3,170,5,12,2,1,0,-3,5,1,5,-4
1097,2017,643,RUS,3630,ru,1,40,2,3630,1,2,7,3,1,2,2,2,3,643001
1098,2018,36,AUS,1240,en,2,31,2,-2,1,-2,6,3,5,1,4,1,0,36004
1099,2022,528,NLD,1190,nl,1,68,3,1190,1,2,6,3,1,3,2,3,0,528001
1100,2019,392,JPN,2020,ja,1,55,3,2020,1,2,6,3,1,2,2,3,0,-4
1101,2018,792,TUR,4370,tr,1,36,2,-4,1,2,1,1,6,2,4,2,5,-5
1102,2020,762,TJK,4160,tg,2,58,3,4160,1,4,3,2,6,-2,3,2,5,762001
1103,2017,688,SRB,3780,sr,1,19,1,3780,6,0,6,3,5,2,4,2,3,688001
1104,2020,104,MMR,740,my,1,61,3,2220,1,5,1,1,6,1,4,1,1,104002
1105,2020,124,CAN,1400,fr,1,46,2,1400,6,0,4,2,3,2,3,1,1,124999
1106,2021,51,ARM,200,hy,1,21,1,200,6,0,2,1,7,2,4,2,3,51001
1107,2017,68,BOL,1270,es,1,49,2,1270,6,1,1,1,7,2,3,1,2,68001
1108,2018,76,BRA,3530,pt,1,77,3,3530,3,1,3,2,8,2,3,1,0,76003
1109,2020,231,ETH,3390,om,1,40,2,3390,1,6,0,1,10,2,3,2,5,231003
1110,2020,417,KGZ,2310,ky,2,41,2,2310,1,4,5,3,7,1,4,2,5,417001
1111,2020,702,SGP,1240,en,2,27,1,2870,6,0,6,3,1,3,3,2,9,702004
1112,2022,434,LBY,170,ar,2,37,2,170,1,4,3,2,0,-3,3,2,5,434005
1113,2018,458,MYS,2810,ms,1,63,3,2810,1,3,4,2,2,1,2,2,5,458004
1114,2022,528,NLD,1190,nl,2,62,3,1190,1,2,5,3,1,1,2,3,2,528001
1115,2018,818,EGY,170,ar,2,53,3,170,4,1,0,1,6,2,3,2,8,818001
1116,2017,840,USA,1240,en,2,33,2,1240,1,2,5,3,3,2,4,-2,0,840001
1117,2020,716,ZWE,3830,sn,2,62,3,3830,1,5,0,1,9,2,2,2,0,716006
1118,2022,909,NIR,1240,en,1,68,3,1240,6,-4,3,2,5,1,-4,1,2,909002
1119,2020,124,CAN,1240,en,1,43,2,1240,6,0,6,3,3,2,3,2,1,124001
1120,2018,76,BRA,3530,pt,2,36,2,3530,6,0,6,3,1,2,3,2,1,76001
1121,2020,124,CAN,1240,en,2,35,2,1240,1,1,7,3,1,2,3,2,2,-2
1122,2018,642,ROU,3580,ro,2,68,3,3580,3,3,0,1,3,3,2,-1,3,642005
1123,2018,630,PRI,1270,es,1,19,1,1270,6,1,1,1,8,2,5,1,8,630001
1124,2019,446,MAC,2870,zh,1,29,1,790,6,0,6,3,3,2,3,2,0,446006
1125,2021,862,VEN,1270,es,2,30,2,1270,2,3,2,1,7,-3,5,1,1,862003
1126,2018,818,EGY,170,ar,1,33,2,170,1,1,3,2,5,1,3,2,5,818001
1127,2019,446,MAC,2870,zh,2,28,1,2870,1,1,3,2,0,2,3,2,0,446006
1128,2017,840,USA,1240,en,2,59,3,1270,1,2,6,3,-3,2,2,2,0,840004
1129,2018,276,DEU,1530,de,1,19,1,1530,6,0,3,2,3,2,2,1,2,-4
1130,2018,36,AUS,1240,en,2,51,3,1240,1,2,7,3,2,1,2,2,8,36001
1131,2023,356,IND,1740,hi,1,40,2,1740,2,1,3,2,7,2,3,1,6,356019
1132,2018,170,COL,1270,es,2,30,2,1270,2,1,4,2,4,2,4,1,0,170008
1133,2018,818,EGY,170,ar,1,54,3,170,5,2,7,3,1,2,3,2,5,818001
1134,2022,528,NLD,1190,nl,1,29,1,1190,6,0,7,3,2,1,2,2,0,528001
1135,2022,528,NLD,1190,nl,2,53,3,1190,1,2,2,1,3,2,2,3,1,528001
1136,2017,68,BOL,1270,es,2,58,3,1270,4,8,0,1,-2,-1,3,2,1,68002
1137,2017,300,GRC,1580,el,1,63,3,1580,1,2,6,3,1,1,2,2,3,300001
1138,2018,20,AND,1270,es,2,54,3,3530,4,2,2,1,8,2,4,2,1,20001
1139,2022,909,NIR,1240,en,2,50,3,1940,6,-4,2,1,1,1,-4,3,1,909005
1140,2018,818,EGY,170,ar,2,28,1,170,1,3,0,1,0,-3,4,1,5,818001
1141,2017,300,GRC,1580,el,1,61,3,1580,1,0,4,2,6,2,3,2,3,300001
1142,2022,434,LBY,170,ar,1,64,3,170,1,5,5,3,1,1,4,2,5,434005
1143,2021,51,ARM,200,hy,1,70,3,200,1,3,3,2,9,-3,3,1,3,51001
1144,2017,643,RUS,3630,ru,2,27,1,3630,6,0,7,3,7,3,2,2,3,643001
1145,2020,231,ETH,140,am,1,35,2,140,1,2,2,1,9,3,4,2,5,231001
1146,2018,152,CHL,1270,es,2,60,3,1270,1,2,7,3,2,2,3,2,7,152001
1147,2018,400,JOR,170,ar,1,43,2,170,1,4,3,2,7,1,5,1,5,-4
1148,2019,608,PHL,820,ceb,1,55,3,1880,1,3,4,2,9,2,3,2,1,608005
1149,2018,76,BRA,3530,pt,2,41,2,3530,6,2,1,1,8,-2,4,2,9,76001
1150,2018,344,HKG,790,zh,1,41,2,790,1,1,3,2,6,-2,3,2,0,344001
1151,2020,124,CAN,1400,fr,1,39,2,1400,1,2,3,2,6,2,2,3,0,124001
1152,2018,642,ROU,3580,ro,2,25,1,3580,6,0,4,2,4,2,3,2,3,642005
1153,2017,643,RUS,3630,ru,1,70,3,3630,5,3,3,2,7,1,4,2,3,643001
1154,2022,703,SVK,3890,sk,1,45,2,3890,1,2,7,3,1,1,2,2,1,703005
1155,2020,702,SGP,1240,en,1,22,1,2870,6,0,4,2,3,2,4,2,7,702004
1156,2018,792,TUR,4370,tr,2,47,2,-4,1,2,1,1,0,-3,4,-2,5,-5
1157,2018,630,PRI,1270,es,2,67,3,1270,3,4,6,3,1,2,3,2,8,630012
1158,2020,124,CAN,1240,en,2,19,1,1240,6,0,3,2,8,2,2,1,0,124001
1159,2017,300,GRC,1580,el,2,77,3,1580,1,2,1,1,0,-3,4,2,3,300001
1160,2019,392,JPN,2020,ja,2,32,2,2020,1,2,3,2,8,2,4,1,0,-4
1161,2018,156,CHN,2870,zh,1,54,3,9060,1,1,3,2,6,2,3,2,0,156001
1162,2020,104,MMR,740,my,1,55,3,740,1,8,2,1,9,-1,2,2,7,104001
1163,2023,356,IND,1740,hi,1,16,1,490,6,-5,3,2,11,3,2,2,6,356024
1164,2018,344,HKG,790,zh,1,33,2,790,1,0,4,2,3,2,3,2,0,344001
1165,2021,862,VEN,1270,es,2,21,1,1270,2,2,1,1,8,3,5,1,1,862005
1166,2018,630,PRI,1270,es,2,54,3,1270,6,5,1,1,8,-2,3,2,8,630012
1167,2018,422,LBN,170,ar,2,49,2,170,1,3,1,1,0,3,4,2,5,-4
1168,2018,458,MYS,2810,ms,2,50,3,2810,1,4,6,3,2,1,2,3,5,458004
