,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290
2889,2019,158,TWN,2870,zh,2,67,3,4150,1,3,3,2,-3,-3,5,1,7,158002
2890,2018,170,COL,1270,es,1,25,1,1270,6,0,4,2,3,2,3,2,1,170011
2891,2019,196,CYP,1580,el,1,52,3,1580,1,3,3,2,5,1,3,2,3,196001
2892,2020,554,NZL,1240,en,2,54,3,1240,6,3,0,1,0,-5,5,-5,0,-4
2893,2018,170,COL,1270,es,2,30,2,1270,2,3,3,2,4,1,3,2,0,170011
2894,2018,36,AUS,1240,en,2,61,3,1240,6,-2,3,2,-2,2,5,1,0,36001
2895,2018,484,MEX,1270,es,1,75,3,1270,1,2,2,1,9,-1,4,1,2,484002
2896,2018,642,ROU,3580,ro,2,26,1,3580,6,0,6,3,4,-2,4,-2,-2,642005
2897,2019,158,TWN,2870,zh,1,57,3,4150,4,2,1,1,9,2,4,2,9,158002
2898,2020,762,TJK,4160,tg,2,48,2,4160,1,6,3,2,0,-3,2,2,5,762001
2899,2018,36,AUS,1240,en,2,26,1,1890,6,0,7,3,4,2,2,2,1,36003
2900,2018,484,MEX,1270,es,2,19,1,1270,4,1,3,2,4,-3,5,1,1,484002
2901,2019,196,CYP,1580,el,1,23,1,1580,6,1,3,2,7,2,2,3,3,196001
2902,2017,643,RUS,3630,ru,2,45,2,3630,1,2,7,3,2,2,2,3,3,643001
2903,2022,826,GBR,1240,en,2,52,3,1240,5,-4,3,2,3,2,-4,2,0,826100
2904,2018,156,CHN,2870,zh,1,31,2,2870,1,2,6,3,3,1,4,1,0,156001
2905,2017,68,BOL,1270,es,2,25,1,1270,6,0,6,3,1,1,3,2,0,68003
2906,2018,360,IDN,1890,id,1,35,2,2030,1,1,3,2,9,2,5,1,5,360004
2907,2020,231,ETH,140,am,2,36,2,3390,1,4,0,1,0,3,3,1,5,231003
2908,2022,203,CZE,1040,cs,1,61,3,1040,3,2,2,1,3,2,4,2,0,203003
2909,2018,156,CHN,2870,zh,2,44,2,9060,1,1,3,2,5,2,3,2,2,156001
2910,2017,68,BOL,1270,es,1,20,1,1270,2,1,3,2,0,-3,3,2,2,68999
2911,2020,804,UKR,3630,ru,2,39,2,4410,1,1,7,3,5,2,3,2,-2,804001
2912,2018,76,BRA,3530,pt,2,70,3,3530,5,1,-1,-1,5,2,5,1,1,76001
2913,2018,276,DEU,1530,de,1,71,3,1530,3,2,5,3,5,2,3,2,0,-4
2914,2020,124,CAN,1240,en,2,27,1,1240,6,0,4,2,5,2,2,2,0,124001
2915,2020,558,NIC,1270,es,2,54,3,1270,6,4,6,3,3,1,3,2,1,558001
2916,2018,400,JOR,170,ar,2,48,2,170,1,2,3,2,6,-2,5,1,5,-4
2917,2018,398,KAZ,3630,ru,2,36,2,3630,1,3,6,3,3,2,-1,3,5,398025
2918,2018,458,MYS,2810,ms,2,34,2,2810,3,4,2,1,6,2,3,1,5,458004
2919,2022,434,LBY,170,ar,2,26,1,170,6,0,3,2,1,-2,4,1,5,434005
2920,2020,320,GTM,1270,es,2,19,1,1270,6,0,7,3,3,2,2,2,1,320005
2921,2018,76,BRA,3530,pt,1,60,3,3530,1,2,2,1,3,3,4,1,0,76002
2922,2021,862,VEN,1270,es,2,43,2,1270,3,4,5,3,3,2,3,2,2,862001
2923,2022,434,LBY,170,ar,1,26,1,170,1,0,5,3,1,2,3,2,5,434005
2924,2018,368,IRQ,170,ar,1,18,1,170,6,0,4,2,-2,-2,3,2,5,368001
2925,2017,840,USA,1240,en,2,26,1,1240,2,0,6,3,5,2,3,2,0,840001
2926,2018,818,EGY,170,ar,1,55,3,170,4,0,3,2,3,2,5,2,5,818001
2927,2020,124,CAN,1240,en,2,21,1,1240,6,0,6,3,8,2,3,2,0,124001
2928,2020,231,ETH,4270,tig,1,31,2,4260,1,3,2,1,4,2,2,2,3,231002
2929,2018,360,IDN,1890,id,1,57,3,2030,1,3,0,1,10,2,3,2,5,360004
2930,2023,356,IND,1740,hi,2,16,1,1740,6,-5,3,2,11,-1,3,2,6,356024
2931,2020,496,MNG,3030,mn,2,43,2,3030,3,4,2,1,4,2,2,2,7,496001
2932,2021,51,ARM,200,hy,1,70,3,200,1,2,1,1,7,-3,3,-1,3,51001
2933,2018,360,IDN,1890,id,1,44,2,2030,1,2,3,2,6,2,4,2,5,360004
2934,2021,462,MDV,1105,dv,1,45,2,1105,1,3,0,1,6,1,3,2,5,462003
2935,2018,764,THA,4230,th,1,27,1,1260,6,0,2,1,10,-2,4,1,7,764001
2936,2018,818,EGY,170,ar,1,26,1,170,1,0,3,2,6,2,4,2,5,818001
2937,2021,404,KEN,1240,en,1,19,1,2316,6,0,3,2,-3,-3,2,2,1,404004
2938,2017,840,USA,1240,en,1,57,3,1240,1,1,7,3,8,2,2,2,0,840001
2939,2018,422,LBN,170,ar,1,18,1,170,6,0,4,2,0,3,3,2,5,-4
2940,2019,196,CYP,1580,el,1,49,2,1580,3,3,3,2,7,-2,4,1,3,196001
2941,2018,360,IDN,1890,id,2,66,3,2030,5,4,1,1,4,2,5,1,5,360004
2942,2021,862,VEN,1270,es,1,61,3,1270,5,0,0,1,9,3,4,1,1,862002
2943,2018,276,DEU,1530,de,2,67,3,1530,1,1,3,2,5,2,2,3,1,-4
2944,2018,642,ROU,3580,ro,1,59,3,3580,1,2,6,3,1,1,3,2,3,642005
2945,2022,203,CZE,1040,cs,1,48,2,1040,6,0,2,1,7,2,4,2,0,203003
2946,2018,152,CHL,1270,es,2,42,2,1270,1,6,1,1,8,-3,3,2,0,-2
2947,2018,458,MYS,2810,ms,2,52,3,2870,1,4,8,3,5,3,4,3,7,458012
2948,2018,818,EGY,170,ar,2,38,2,170,5,4,2,1,0,-3,5,1,5,818001
2949,2017,688,SRB,3780,sr,1,30,2,3780,1,2,8,3,0,-3,2,3,3,688001
2950,2023,356,IND,1740,hi,2,16,1,1740,6,-5,3,2,5,-1,2,3,5,356024
2951,2018,792,TUR,4370,tr,2,18,1,-4,6,0,6,3,0,2,3,2,5,-5
2952,2018,156,CHN,2870,zh,2,56,3,9060,1,0,6,3,3,1,3,2,0,156001
2953,2023,356,IND,1740,hi,2,31,2,1740,1,3,0,1,0,-1,5,1,6,356017
2954,2019,158,TWN,2870,zh,1,63,3,4150,3,2,5,3,-3,-3,3,2,9,158002
2955,2018,156,CHN,2870,zh,1,37,2,9060,1,1,2,1,4,2,5,1,0,156001
2956,2018,276,DEU,1530,de,1,31,2,1530,1,2,7,3,1,1,3,2,1,-4
2957,2017,68,BOL,1270,es,1,22,1,1270,6,1,6,3,4,3,4,2,2,-1
2958,2022,858,URY,1270,es,2,57,3,1270,6,0,3,2,3,1,4,2,0,858100
2959,2020,558,NIC,1270,es,1,44,2,1270,2,3,1,1,0,2,5,2,1,558001
2960,2018,792,TUR,4370,tr,2,47,2,-4,1,1,1,1,0,2,2,2,5,-5
2961,2017,32,ARG,1270,es,1,38,2,1270,6,0,3,2,4,2,4,2,1,32001
2962,2021,51,ARM,200,hy,2,19,1,200,6,0,3,2,5,-3,2,2,0,51007
2963,2017,840,USA,1240,en,1,37,2,1240,1,1,6,3,5,1,1,3,2,840001
2964,2018,586,PAK,4420,ur,2,35,2,4420,1,4,0,1,0,3,2,3,5,586007
2965,2018,36,AUS,1240,en,2,40,2,1240,1,2,6,3,3,1,3,2,8,36001
2966,2020,320,GTM,1270,es,2,45,2,1270,1,5,3,2,0,-2,3,2,1,320003
2967,2022,826,GBR,1240,en,1,65,3,1240,1,-4,2,1,5,2,-4,2,0,826100
2968,2020,124,CAN,1240,en,2,58,3,1240,3,2,6,3,6,1,3,1,1,124001
2969,2021,51,ARM,200,hy,2,83,3,200,5,1,2,1,4,-3,4,2,3,51001
2970,2020,320,GTM,1270,es,1,45,2,1270,3,-2,3,2,3,2,5,2,0,320003
2971,2022,860,UZB,4450,uz,1,57,3,4450,1,3,3,2,8,1,4,1,1,860007
2972,2022,528,NLD,1190,nl,2,82,3,1190,3,2,-5,-5,-3,-2,2,-5,-5,-3
